site_no,state,lat,lon,huc2,site_value_id,state_value_id,x_value_id,y_value_id,huc2_value_id
01073319,NH,43.04138889,-71.2016667,1,figs1.station.01073319.site_id,figs1.station.01073319.state,figs1.station.01073319.longitude,figs1.station.01073319.latitude,figs1.station.01073319.huc2
01104415,MA,42.43592855,-71.2600567,1,figs1.station.01104415.site_id,figs1.station.01104415.state,figs1.station.01104415.longitude,figs1.station.01104415.latitude,figs1.station.01104415.huc2
01104455,MA,42.37259606,-71.27033448,1,figs1.station.01104455.site_id,figs1.station.01104455.state,figs1.station.01104455.longitude,figs1.station.01104455.latitude,figs1.station.01104455.huc2
01104475,MA,42.3545408,-71.2681121,1,figs1.station.01104475.site_id,figs1.station.01104475.state,figs1.station.01104475.longitude,figs1.station.01104475.latitude,figs1.station.01104475.huc2
01129500,NH,44.74977166,-71.63120018,1,figs1.station.01129500.site_id,figs1.station.01129500.state,figs1.station.01129500.longitude,figs1.station.01129500.latitude,figs1.station.01129500.huc2
01400500,NJ,40.55555556,-74.58277778,2,figs1.station.01400500.site_id,figs1.station.01400500.state,figs1.station.01400500.longitude,figs1.station.01400500.latitude,figs1.station.01400500.huc2
01408029,NJ,40.14666667,-74.12222222,2,figs1.station.01408029.site_id,figs1.station.01408029.state,figs1.station.01408029.longitude,figs1.station.01408029.latitude,figs1.station.01408029.huc2
01425000,NY,42.07491667,-75.3958056,2,figs1.station.01425000.site_id,figs1.station.01425000.state,figs1.station.01425000.longitude,figs1.station.01425000.latitude,figs1.station.01425000.huc2
01426500,NY,42.00302778,-75.38352778,2,figs1.station.01426500.site_id,figs1.station.01426500.state,figs1.station.01426500.longitude,figs1.station.01426500.latitude,figs1.station.01426500.huc2
01427207,PA,41.86727778,-75.21375,2,figs1.station.01427207.site_id,figs1.station.01427207.state,figs1.station.01427207.longitude,figs1.station.01427207.latitude,figs1.station.01427207.huc2
01428500,NY,41.50875,-74.9860556,2,figs1.station.01428500.site_id,figs1.station.01428500.state,figs1.station.01428500.longitude,figs1.station.01428500.latitude,figs1.station.01428500.huc2
01435000,NY,41.88994444,-74.5898056,2,figs1.station.01435000.site_id,figs1.station.01435000.state,figs1.station.01435000.longitude,figs1.station.01435000.latitude,figs1.station.01435000.huc2
01463500,NJ,40.22166667,-74.77805556,2,figs1.station.01463500.site_id,figs1.station.01463500.state,figs1.station.01463500.longitude,figs1.station.01463500.latitude,figs1.station.01463500.huc2
01480617,PA,39.9617734,-75.8013341,2,figs1.station.01480617.site_id,figs1.station.01480617.state,figs1.station.01480617.longitude,figs1.station.01480617.latitude,figs1.station.01480617.huc2
01540500,PA,40.95814218,-76.6191222,2,figs1.station.01540500.site_id,figs1.station.01540500.state,figs1.station.01540500.longitude,figs1.station.01540500.latitude,figs1.station.01540500.huc2
01542500,PA,41.11755906,-78.108896,2,figs1.station.01542500.site_id,figs1.station.01542500.state,figs1.station.01542500.longitude,figs1.station.01542500.latitude,figs1.station.01542500.huc2
01549700,PA,41.27361657,-77.3241186,2,figs1.station.01549700.site_id,figs1.station.01549700.state,figs1.station.01549700.longitude,figs1.station.01549700.latitude,figs1.station.01549700.huc2
