site,site_id,ok,wtemp_cov,flow_cov,wlevel_cov,n_days,station_nm,lat,lon,state
04092750,n00,True,0.626,0.996,0.0,5479,"INDIANA HARBOR CANAL AT EAST CHICAGO, IN",41.64918269,-87.4686222,IN
04027000,n01,True,0.613,1.0,0.0,5479,"BAD RIVER NEAR ODANAH, WI",46.4866144,-90.696297,WI
04213500,n02,True,0.637,1.0,0.0,5479,CATTARAUGUS CREEK AT GOWANDA NY,42.46344444,-78.9345278,NY
11261500,n03,True,0.858,1.0,0.0,5479,SAN JOAQUIN R A FREMONT FORD BRIDGE CA,37.3099115,-120.9309993,CA
06486000,n04,True,0.609,1.0,0.0,5479,"Missouri River at Sioux City, IA",42.48619444,-96.4130833,NE
05382284,n05,True,0.681,0.761,0.0,5479,"SILVER CREEK AT STATE HIGHWAY 21 NEAR ANGELO, WI",43.9672222,-90.765,WI
09234500,n06,True,0.982,1.0,0.0,5479,"GREEN RIVER NEAR GREENDALE, UT",40.90829296,-109.422914,UT
05382267,n07,True,0.751,0.819,0.0,5479,"LA CROSSE RIVER @ CNTY TRUNK HIGHWY BB NR TOMAH,WI",44.00027778,-90.7244444,WI
10133800,n08,True,0.995,1.0,0.0,5479,"EAST CANYON CREEK NEAR JEREMY RANCH, UT",40.75966979,-111.5640912,UT
11507500,n09,True,0.985,1.0,0.0,5479,"LINK RIVER AT KLAMATH FALLS, OR",42.22347795,-121.7941708,OR
03353611,n10,True,0.898,1.0,0.0,5479,"WHITE R. AT STOUT GEN. STN. AT INDIANAPOLIS, IN",39.7144805,-86.200525,IN
09163500,n11,True,0.986,1.0,0.0,5479,COLORADO RIVER NEAR COLORADO-UTAH STATE LINE,39.1327434,-109.02707585,CO
12213100,n12,True,0.867,1.0,0.994,5479,"NOOKSACK RIVER AT FERNDALE, WA",48.84479237,-122.5893141,WA
06768000,n13,True,0.592,1.0,0.942,5479,"Platte River near Overton, Nebr.",40.68257222,-99.54023611,NE
14159500,n14,True,0.999,1.0,0.0,5479,"SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR",44.13595817,-122.248391,OR
06066500,n15,True,0.998,1.0,0.0,5479,Missouri River bl Holter Dam nr Wolf Cr MT,46.99473889,-112.0106667,MT
10129900,n16,True,0.995,1.0,0.0,5479,"SILVER CREEK NEAR SILVER CREEK JUNCTION, UT",40.73522634,-111.4760313,UT
03039000,n17,True,0.776,0.75,0.0,5479,Crooked Creek at Crooked Creek Dam near Ford City,40.7203422,-79.5114332,PA
14178000,n18,True,0.999,1.0,0.0,5479,"NO SANTIAM R BLW BOULDER CRK, NR DETROIT, OR",44.7067885,-122.1011859,OR
05406457,n19,True,0.738,0.75,0.0,5479,"BLACK EARTH CREEK NR BREWERY RD AT CROSS PLAINS,WI",43.1097222,-89.6408333,WI
09196500,n20,True,0.558,1.0,0.0,5479,"PINE CREEK ABOVE FREMONT LAKE, WY",43.02705556,-109.7735278,WY
12115000,n21,True,0.922,1.0,0.375,5479,"CEDAR RIVER NEAR CEDAR FALLS, WA",47.3701073,-121.6251009,WA
03353200,n22,True,0.672,0.999,0.0,5479,"EAGLE CREEK AT ZIONSVILLE, IN",39.94642217,-86.260249,IN
14211499,n23,True,0.966,1.0,0.0,5479,"KELLEY CREEK AT SE 159TH DRIVE AT PORTLAND, OR",45.4767869,-122.4984239,OR
02077303,n24,True,0.855,0.988,0.96,5479,"HYCO R BL ABAY D NR MCGEHEES MILL, NC",36.5227222,-78.9970556,NC
04043244,n25,True,0.987,1.0,0.0,5479,"EAST BRANCH SALMON TROUT RIVER NEAR DODGE CITY, MI",46.7857589,-87.8523522,MI
02011400,n26,True,0.939,1.0,0.0,5479,"JACKSON RIVER NEAR BACOVA, VA",38.04234707,-79.8814439,VA
13016450,n27,True,0.683,1.0,0.0,5479,"FISH CREEK AT WILSON, WY",43.50076005,-110.8716,WY
13068500,n28,True,0.645,0.937,0.0,5479,BLACKFOOT RIVER NR BLACKFOOT ID,43.13055556,-112.4766667,ID
04125550,n29,True,0.983,1.0,0.0,5479,"MANISTEE RIVER NEAR WELLSTON, MI",44.25944459,-85.9416248,MI
12340000,n30,True,0.833,1.0,0.0,5479,Blackfoot River near Bonner MT,46.8994111,-113.7563194,MT
14320934,n31,True,0.866,0.889,0.0,5479,"LITTLE WOLF CREEK NEAR TYEE, OR",43.43122665,-123.5867573,OR
14151000,n32,True,0.987,1.0,0.0,5479,"FALL CREEK BLW WINBERRY CREEK, NEAR FALL CREEK, OR",43.94429299,-122.774794,OR
12205000,n33,True,0.858,1.0,0.997,5479,"NF NOOKSACK RIVER BL CASCADE CREEK NR GLACIER, WA",48.90595739,-121.8443104,WA
14197900,n34,True,0.826,1.0,0.0,5479,"WILLAMETTE RIVER AT NEWBERG, OR",45.2845625,-122.9614893,OR
06036905,n35,True,1.0,1.0,0.0,5479,Firehole River near West Yellowstone MT,44.6201833,-110.8635028,WY
13056500,n36,True,0.726,1.0,0.0,5479,HENRYS FORK NR REXBURG ID,43.8258333,-111.905,ID
03054500,n37,True,0.595,1.0,0.0,5479,"TYGART VALLEY RIVER AT PHILIPPI, WV",39.15037545,-80.038691,WV
12398600,n38,True,0.937,1.0,0.0,5479,PEND OREILLE RIVER AT INTERNATIONAL BOUNDARY,48.99881409,-117.3535794,WA
14316495,n39,True,0.694,1.0,0.0,5479,"BOULDER CREEK NEAR TOKETEE FALLS, OR",43.3034543,-122.5303237,OR
