site_no,legacy_site_id,ok,wtemp_cov,flow_cov,wtemp_cov_test,flow_cov_test,wlevel_cov,n_days,station_nm,lat,lon,state,huc_cd,huc2,drain_area_va,huc_metadata_status
01073319,n90,True,0.595,0.834,1.0,1.0,0.0,5479,"LAMPREY RIVER AT LANGFORD ROAD, AT RAYMOND, NH",43.04138889,-71.2016667,NH,1060003,1,55.7,USGS_SNAPSHOT_SITE_NO_MATCH
01104415,n88,True,0.971,1.0,0.999,1.0,0.0,5479,"CAMBRIDGE RES., UNNAMED TRIB 2, NR LEXINGTON, MA",42.43592855,-71.2600567,MA,1090001,1,0.41,USGS_SNAPSHOT_SITE_NO_MATCH
01104455,n35,True,0.982,1.0,0.997,1.0,0.0,5479,"STONY BROOK, UNNAMED TRIBUTARY 1, NEAR WALTHAM, MA",42.37259606,-71.27033448,MA,1090001,1,0.48,USGS_SNAPSHOT_SITE_NO_MATCH
01104475,n116,True,0.997,1.0,1.0,1.0,0.0,5479,"STONY BROOK RES., UNNAMED TRIB 1, NEAR WESTON, MA",42.3545408,-71.2681121,MA,1090001,1,0.85,USGS_SNAPSHOT_SITE_NO_MATCH
01129500,n99,True,0.858,1.0,1.0,1.0,0.0,5479,"CONNECTICUT RIVER AT NORTH STRATFORD, NH",44.74977166,-71.63120018,NH,1080101,1,799,USGS_SNAPSHOT_SITE_NO_MATCH
01400500,n82,True,0.825,1.0,0.911,1.0,0.0,5479,Raritan River at Manville NJ,40.55555556,-74.58277778,NJ,2030105,2,490,USGS_SNAPSHOT_SITE_NO_MATCH
01408029,n109,True,0.886,1.0,0.927,1.0,0.0,5479,Manasquan River near Allenwood NJ,40.14666667,-74.12222222,NJ,20403010105,2,63.3,USGS_SNAPSHOT_SITE_NO_MATCH
01425000,n111,True,0.983,1.0,1.0,1.0,0.0,5479,WEST BRANCH DELAWARE RIVER AT STILESVILLE NY,42.07491667,-75.3958056,NY,2040101,2,456,USGS_SNAPSHOT_SITE_NO_MATCH
01426500,n12,True,0.997,1.0,1.0,1.0,0.0,5479,WEST BRANCH DELAWARE RIVER AT HALE EDDY NY,42.00302778,-75.38352778,NY,2040101,2,595,USGS_SNAPSHOT_SITE_NO_MATCH
01427207,n71,True,0.949,0.962,0.989,1.0,0.0,5479,DELAWARE RIVER AT LORDVILLE NY,41.86727778,-75.21375,PA,20401010406,2,1590.0,USGS_SNAPSHOT_SITE_NO_MATCH
01428500,n47,True,0.986,1.0,0.956,1.0,0.0,5479,DELAWARE R ABOVE LACKAWAXEN R NEAR BARRYVILLE NY,41.50875,-74.9860556,NY,2040101,2,2020,USGS_SNAPSHOT_SITE_NO_MATCH
01435000,n41,True,0.588,1.0,0.995,1.0,0.0,5479,NEVERSINK RIVER NEAR CLARYVILLE NY,41.88994444,-74.5898056,NY,2040104,2,66.6,USGS_SNAPSHOT_SITE_NO_MATCH
01463500,n39,True,0.957,1.0,0.97,1.0,0.0,5479,Delaware River at Trenton NJ,40.22166667,-74.77805556,NJ,20401050911,2,6780.0,USGS_SNAPSHOT_SITE_NO_MATCH
01480617,n55,True,0.813,1.0,0.992,1.0,0.0,5479,"West Branch Brandywine Creek at Modena, PA",39.9617734,-75.8013341,PA,2040205,2,55.0,USGS_SNAPSHOT_SITE_NO_MATCH
01540500,n27,True,0.62,1.0,0.969,1.0,0.0,5479,"Susquehanna River at Danville, PA",40.95814218,-76.6191222,PA,2050107,2,11220,USGS_SNAPSHOT_SITE_NO_MATCH
01542500,n63,True,0.665,1.0,0.996,1.0,0.0,5479,"WB Susquehanna River at Karthaus, PA",41.11755906,-78.108896,PA,2050201,2,1462,USGS_SNAPSHOT_SITE_NO_MATCH
01549700,n75,True,0.646,1.0,1.0,1.0,0.0,5479,"Pine Creek bl L Pine Creek near Waterville, PA",41.27361657,-77.3241186,PA,2050205,2,944,USGS_SNAPSHOT_SITE_NO_MATCH
01608500,n119,True,0.988,1.0,0.992,1.0,0.0,5479,"SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV",39.44703879,-78.6541817,WV,2070001,2,1461,USGS_SNAPSHOT_SITE_NO_MATCH
02110701,n21,True,0.927,0.839,0.996,0.952,0.369,5479,"CRABTREE SWAMP AT CONWAY, SC",33.86100349,-79.0411471,SC,3040206,3,18.9,USGS_SNAPSHOT_SITE_NO_MATCH
02176930,n53,True,0.653,0.753,0.971,1.0,0.738,5479,"CHATTOOGA RIVER AT BURRELLS FORD, NR PINE MTN, GA",34.97452778,-83.1161667,GA,3060102,3,46.7,USGS_SNAPSHOT_SITE_NO_MATCH
02266300,n80,True,0.592,1.0,0.966,1.0,0.982,5479,"REEDY CREEK NEAR VINELAND, FL",28.33278738,-81.579796,FL,3090101,3,84.6,USGS_SNAPSHOT_SITE_NO_MATCH
02330450,n28,True,0.955,1.0,0.836,1.0,0.962,5479,"CHATTAHOOCHEE RIVER AT HELEN, GA",34.7009722,-83.72925,GA,3130001,3,44.7,USGS_SNAPSHOT_SITE_NO_MATCH
02334430,n73,True,0.995,1.0,1.0,1.0,0.997,5479,"CHATTAHOOCHEE RIVER AT BUFORD DAM, NEAR BUFORD, GA",34.15666667,-84.0784167,GA,3130001,3,1040.00,USGS_SNAPSHOT_SITE_NO_MATCH
02334885,n08,True,0.988,1.0,0.995,1.0,0.985,5479,"SUWANEE CREEK AT SUWANEE, GA",34.0325,-84.08888889,GA,3130001,3,47.1,USGS_SNAPSHOT_SITE_NO_MATCH
02336120,n96,True,0.989,1.0,0.986,1.0,0.989,5479,"N.F. PEACHTREE CREEK, BUFORD HWY, NEAR ATLANTA, GA",33.83155556,-84.3427778,GA,3130001,3,34.8,USGS_SNAPSHOT_SITE_NO_MATCH
02336300,n24,True,0.974,1.0,0.996,1.0,0.991,5479,"PEACHTREE CREEK AT ATLANTA, GA",33.82030556,-84.40763889,GA,3130001,3,86.8,USGS_SNAPSHOT_SITE_NO_MATCH
02336728,n56,True,0.978,1.0,0.985,1.0,0.978,5479,"UTOY CREEK AT GREAT SOUTHWEST PKWY NR ATLANTA, GA",33.74352778,-84.5681667,GA,3130002,3,33.9,USGS_SNAPSHOT_SITE_NO_MATCH
02397000,n91,True,0.983,1.0,0.975,1.0,0.993,5479,"COOSA RIVER MAYOS BAR NEAR ROME, GA",34.2005,-85.25641667,GA,3150105,3,,USGS_SNAPSHOT_SITE_NO_MATCH
02455980,n92,True,0.992,1.0,0.993,1.0,0.991,5479,TURKEY CREEK AT SEWAGE PLANT NEAR PINSON AL,33.71121273,-86.6961013,AL,3160111,3,27.4,USGS_SNAPSHOT_SITE_NO_MATCH
02458450,n20,True,0.995,1.0,0.999,1.0,0.996,5479,"VILLAGE CREEK AT AVENUE W AT ENSLEY, AL",33.5176481,-86.87915889,AL,3160111,3,33.50,USGS_SNAPSHOT_SITE_NO_MATCH
02474560,n23,True,0.6,0.999,0.837,1.0,0.989,5479,"LEAF RIVER NR NEW AUGUSTA, MS",31.22166667,-89.0530556,MS,3170005,3,2542,USGS_SNAPSHOT_SITE_NO_MATCH
03007800,n110,True,0.664,1.0,1.0,1.0,0.0,5479,"Allegheny River at Port Allegany, PA",41.81867578,-78.29279129,PA,5010001,5,248,USGS_SNAPSHOT_SITE_NO_MATCH
03034000,n44,True,0.637,1.0,0.969,1.0,0.0,5479,"Mahoning Creek at Punxsutawney, PA",40.93923105,-79.00836738,PA,5010006,5,158,USGS_SNAPSHOT_SITE_NO_MATCH
03036000,n98,True,0.778,0.75,0.977,1.0,0.0,5479,"Mahoning Creek at Mahoning Creek Dam, PA",40.9275653,-79.2911508,PA,5010006,5,344,USGS_SNAPSHOT_SITE_NO_MATCH
03047000,n57,True,0.847,0.75,0.971,1.0,0.0,5479,"Loyalhanna Creek at Loyalhanna Dam, PA",40.45888889,-79.4494444,PA,5010008,5,290,USGS_SNAPSHOT_SITE_NO_MATCH
03058000,n78,True,0.842,0.75,0.892,1.0,0.0,5479,"WEST FORK R BL STONEWALL JACKSON DAM NR WESTON, WV",39.00452778,-80.4733611,WV,5020002,5,101,USGS_SNAPSHOT_SITE_NO_MATCH
03077500,n07,True,0.845,0.75,0.96,1.0,0.0,5479,"Youghiogheny River at Youghiogheny River Dam, PA",39.80535485,-79.3642019,PA,5020006,5,436,USGS_SNAPSHOT_SITE_NO_MATCH
