,n,tr,lgb,p,tr_win_rate,winner,skill_tr_persist,skill_lgb_persist,skill_tr_damped
1,114,0.6671963632106781,0.6501826127855062,5.046248930624353e-09,0.2894736842105263,LGB,0.15137284022042197,0.17459859584021054,0.1204215514632122
3,114,1.322561502456665,1.3212464485788602,0.9470245079300454,0.5175438596491229,tie,0.1686234928938813,0.16762683002299555,0.051964693734915024
7,114,1.6754174828529358,1.683023427121701,0.0013646506283748494,0.6140350877192983,TR,0.2370662002067776,0.2316734551094229,0.026297840058482957
