site_id,site,state,station_nm,lat,lon,huc_cd,huc2,huc2_name,drain_area_va,wtemp_cov,flow_cov,wlevel_cov
n00,14161500,OR,"LOOKOUT CREEK NEAR BLUE RIVER, OR",44.2095708,-122.256733,17090004,17,Pacific Northwest,24.1,0.581,1.0,0.0
n01,14159500,OR,"SOUTH FORK MCKENZIE RIVER NEAR RAINBOW, OR",44.13595817,-122.248391,17090004,17,Pacific Northwest,208,0.999,1.0,0.0
n02,07106000,CO,"FOUNTAIN CREEK NEAR FOUNTAIN, CO.",38.6016647,-104.6702503,11020003,11,Arkansas-White-Red,672,0.862,1.0,0.0
n03,07178200,OK,"Bird Ck at State Highway 266 near Catoosa, OK",36.2231514,-95.8194322,11070107,11,Arkansas-White-Red,1123,0.909,1.0,0.0
n04,08052700,TX,"Little Elm Ck nr Aubrey, TX",33.28344977,-96.8927805,12030103,12,Texas-Gulf,75.5,0.666,1.0,0.998
n05,09136100,CO,"NORTH FK GUNNISON RIVER ABOVE MOUTH NR LAZEAR, CO",38.78516667,-107.8334167,14020004,14,Upper Colorado,969,0.774,0.781,0.0
n06,13056500,ID,HENRYS FORK NR REXBURG ID,43.8258333,-111.905,17040203,17,Pacific Northwest,2920,0.726,1.0,0.0
n07,02110400,SC,"BUCK CREEK NEAR LONGS, SC",33.95346259,-78.71974629,03040206,03,South Atlantic-Gulf,46.9,0.99,0.794,0.446
n08,13342500,ID,CLEARWATER RIVER AT SPALDING ID,46.4483333,-116.8275,17060306,17,Pacific Northwest,9283,0.993,1.0,0.0
n09,03077500,PA,"Youghiogheny River at Youghiogheny River Dam, PA",39.80535485,-79.3642019,05020006,05,Ohio,436,0.845,0.75,0.0
n10,02334885,GA,"SUWANEE CREEK AT SUWANEE, GA",34.0325,-84.08888889,03130001,03,South Atlantic-Gulf,47.1,0.988,1.0,0.985
n11,12056500,WA,"NF SKOKOMISH R BL STAIRCASE RPDS NR HOODSPORT, WA",47.51425666,-123.3298868,17110017,17,Pacific Northwest,57.2,0.62,1.0,0.999
n12,08065350,TX,"Trinity Rv nr Crockett, TX",31.33851319,-95.6563407,12030201,12,Texas-Gulf,13911,0.932,1.0,0.977
n13,11507500,OR,"LINK RIVER AT KLAMATH FALLS, OR",42.22347795,-121.7941708,18010204,18,California,3810,0.985,1.0,0.0
n14,12388700,MT,Flathead River at Perma MT,47.36679167,-114.585,17010212,17,Pacific Northwest,9024,0.617,1.0,0.0
n15,01426500,NY,WEST BRANCH DELAWARE RIVER AT HALE EDDY NY,42.00302778,-75.38352778,02040101,02,Mid-Atlantic,595,0.997,1.0,0.0
n16,14152000,OR,"MIDDLE FORK WILLAMETTE RIVER AT JASPER, OR",43.99818166,-122.9059126,17090001,17,Pacific Northwest,1340,0.99,1.0,0.0
n17,12210700,WA,"NOOKSACK RIVER AT NORTH CEDARVILLE, WA",48.84174,-122.2943049,17110004,17,Pacific Northwest,589,0.835,1.0,0.999
n18,09144250,CO,"GUNNISON RIVER AT DELTA, CO",38.75303944,-108.078403,14020005,14,Upper Colorado,5636,0.762,1.0,0.0
n19,03277075,KY,"GUNPOWDER CR AT CAMP ERNST RD NR UNION, KY",38.99416667,-84.7161111,05090203,05,Ohio,36.6,0.577,1.0,0.0
n20,05054000,ND,"RED RIVER OF THE NORTH AT FARGO, ND",46.861111,-96.783333,090201040504,09,Souris-Red-Rainy,6800.0,0.954,1.0,0.99
n21,12398600,WA,PEND OREILLE RIVER AT INTERNATIONAL BOUNDARY,48.99881409,-117.3535794,17010216,17,Pacific Northwest,25200,0.937,1.0,0.0
n22,07332622,TX,"Bois D'Arc Ck at FM 409 nr Honey Grove, TX",33.74416667,-95.9611111,11140101,11,Arkansas-White-Red,370,0.68,0.772,0.761
