model,scope,feature_set,site_id,horizon,split,n_seeds,n_obs,BIAS,BIAS_std,KGE,KGE_std,MAE,MAE_std,NSE,NSE_std,PBIAS,PBIAS_std,R2,R2_std,RMSE,RMSE_std,SKILL_RMSE,SKILL_RMSE_std,CRPS,CRPS_std,EVT_AUPRC,EVT_AUPRC_std,EVT_AUROC,EVT_AUROC_std,EVT_BASE_RATE,EVT_BASE_RATE_std,EVT_BRIER,EVT_BRIER_std,EVT_BRIER_SKILL,EVT_BRIER_SKILL_std,MPIW,MPIW_std,PICP,PICP_std,PINBALL,PINBALL_std,WINKLER,WINKLER_std
Air2streamLite,per_station,phys,p3,3,val,1,731,-0.13995113099549925,0.0,0.9801633845912321,0.0,0.2748486638704097,0.0,0.9884422512213594,0.0,-0.8011800015483345,0.0,0.9884422512213594,0.0,0.34453958307311244,0.0,-0.03306067975037674,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,p3,7,calib,1,365,-0.13345688285801807,0.0,0.9826200970935267,0.0,0.34205313953125677,0.0,0.986730755603485,0.0,-0.7949047363442654,0.0,0.986730755603485,0.0,0.40489786851863935,0.0,0.31208860105372005,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,p3,7,test,1,724,-0.2442197351274862,0.0,0.9713303105027594,0.0,0.45087774884040815,0.0,0.9717465050906611,0.0,-1.41875426859589,0.0,0.9717465050906611,0.0,0.5665156488694193,0.0,-0.0022466243139815933,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,p3,7,val,1,731,-0.30591562721711,0.0,0.9637661927918744,0.0,0.4951789337777922,0.0,0.9646261128413516,0.0,-1.7515945413194072,0.0,0.9646261128413516,0.0,0.603486830335683,0.0,-0.013074770099322341,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,s2,1,calib,1,365,-0.010412061955645263,0.0,0.995186455161998,0.0,0.20810380284668173,0.0,0.996382365722133,0.0,-0.08384967376688995,0.0,0.996382365722133,0.0,0.2784300695591733,0.0,0.01945520862854755,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,s2,1,test,1,730,-0.013271377747141223,0.0,0.9968889317793554,0.0,0.2160504209039922,0.0,0.995609965113098,0.0,-0.10732364855891316,0.0,0.995609965113098,0.0,0.2987870945216377,0.0,0.029836937330023017,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,s2,1,val,1,731,-0.01753762577683774,0.0,0.9976305645810725,0.0,0.1909911796989004,0.0,0.9964825595644312,0.0,-0.14013537425388745,0.0,0.9964825595644312,0.0,0.2601239875534349,0.0,0.031751800842675704,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,s2,3,calib,1,365,-0.028313920159330947,0.0,0.9861518324293449,0.0,0.3789726904819716,0.0,0.9895561676965816,0.0,-0.2282321693018218,0.0,0.9895561676965816,0.0,0.4748669175662685,0.0,0.06693790259125454,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,s2,3,test,1,728,-0.04001323517322306,0.0,0.9911456960444243,0.0,0.3939761570251932,0.0,0.9860935650122361,0.0,-0.3230129983711245,0.0,0.9860935650122361,0.0,0.5302558192446414,0.0,0.09294280429077528,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,s2,3,val,1,731,-0.05381925782379769,0.0,0.9918720650885686,0.0,0.38404581573845614,0.0,0.9873565928207397,0.0,-0.4298578222872514,0.0,0.9873565928207397,0.0,0.4922010467902415,0.0,0.09749113651237584,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,s2,7,calib,1,365,-0.06393079292280782,0.0,0.9709802557514834,0.0,0.5936327326611534,0.0,0.9753987191116525,0.0,-0.5162667186624671,0.0,0.9753987191116525,0.0,0.7342858401210551,0.0,0.1625329047104319,0.0,,,,,,,,,,,,,,,,,,,,
Air2streamLite,per_station,phys,s2,7,test,1,724,-0.09540859330908019,0.0,0.9822829806014256,0.0,0.5986241820580798,0.0,0.9694877737352094,0.0,-0.7673641818298104,0.0,0.9694877737352094,0.0,0.7801830083622032,0.0,0.21309303367843024,0.0,,,,,,,,,,,,,,,,,,,,
