model,horizon,PICP,MPIW,CRPS,BRIER_SKILL,AUPRC
ThermoRoute,1,0.9038065300084531,2.0229470582637985,0.24605946563684622,0.7418229043209181,0.9233045120022578
ThermoRoute,3,0.9085745984784447,4.264237846139053,0.5045994811811673,0.5963126596784445,0.8170336354783416
ThermoRoute,7,0.9105954142011834,5.445341129254255,0.6326518952582333,0.5079750004524752,0.7443488212389724
LightGBM,1,0.9058801775147929,2.011119624877348,0.24048830872133484,0.7333468140582142,0.9181292991626054
LightGBM,3,0.9055103550295858,4.239714189175797,0.5034120583996582,0.5725973568187475,0.7936865285779459
LightGBM,7,0.9067519019442096,5.350678639365048,0.6298686807524707,0.49044289940403263,0.7158123224063123
