horizon,site,rmse_persist,rmse_damped,rmse_thermo
1,n00,0.5762003011151905,0.5579542141495373,0.4879211846402834
1,n01,0.9501435901628861,0.9090851318793352,0.687514267734432
1,n02,1.2472462673017743,1.186976153179022,0.9380007096085737
1,n03,0.6405342019311631,0.6196774975674839,0.4946316108397033
1,n04,0.6730283871137172,0.643965134346037,0.4911936149282072
1,n05,1.0097921421335563,0.9637949464038905,0.8407147415139854
1,n06,0.5194158353002494,0.4974791935728911,0.5165895039831089
1,n07,0.9963032574901992,0.9467760508961144,0.8208299283651183
1,n08,0.7519662603353261,0.7168471896030544,0.6247695787143766
1,n09,0.6227054008496657,0.6010834762322895,0.41052994660059
1,n10,0.7574443122303707,0.7303636041721904,0.6057739685633116
1,n11,0.6307279097222926,0.6075759774318464,0.45178774952639167
1,n12,0.7629091911075039,0.7405041642938336,0.5719117675594008
1,n13,1.6652875318266154,1.5817943700211616,1.4102833183383792
1,n14,0.46932125525499363,0.46145604816286173,0.4716538159427821
1,n15,0.3105600616963879,0.2908620316043201,0.31214116879874343
1,n16,0.7875411138230004,0.760337588812238,0.6890422686899812
1,n17,0.40284853753809935,0.3755221247386865,0.4059686831359128
1,n18,0.551539476307498,0.5318587088222367,0.48716183686857184
1,n19,0.7154504085891943,0.7169990377261207,0.6908272192467702
1,n20,0.41954650907719243,0.3962356833688992,0.3533493417721324
1,n21,0.35453326115988504,0.34601491192185385,0.3526492089706264
1,n22,1.2604424192526946,1.2069684458723142,0.9107316094856028
1,n23,0.77997960512466,0.7541403104352472,0.620421735304888
1,n24,0.4844929984334174,0.46676593860609417,0.47416780060827873
1,n25,0.9202524718462709,0.876613910327163,0.7325546965903532
1,n26,1.1253579922732169,1.0875388054909558,0.8752854440865014
1,n27,0.7681327076177862,0.7183421659877649,0.6748533367537216
1,n28,,,
1,n29,0.2683956928621927,0.2317058114510708,0.227452817586695
1,n30,0.6685723335424304,0.6404473709460025,0.4656857393689145
1,n31,0.6657608864476893,0.6467074755544604,0.5370043040661668
1,n32,0.6028592154767113,0.596076045496926,0.5772322810071424
1,n33,0.4851656570453426,0.4707366865932759,0.46881852911464783
1,n34,,,
1,n35,1.0804132644382025,1.0199935903477155,0.9189358760458932
1,n36,,,
1,n37,0.9866534646392416,0.9607883738225586,0.667045610468762
1,n38,0.30421540488401055,0.271237405188409,0.28044955966699087
1,n39,,,
3,n00,1.2096128865397848,1.0907403229233887,1.1041339954060565
3,n01,1.9491129381181331,1.7036080509326423,1.5580296798753752
3,n02,2.291934604347881,1.9493852245595422,1.8153180217969576
3,n03,1.4127564017414997,1.2538594808732135,1.1869334287922988
3,n04,1.4265617803538526,1.2613794901456825,1.1881086639875027
3,n05,1.849410721363543,1.581381594343828,1.5170087057019535
3,n06,0.7230326604227919,0.6571463012532557,0.6591212838488995
3,n07,1.7798919813002805,1.5125615520815305,1.4636380049188926
3,n08,1.3970832977094605,1.2050506947875628,1.1109972580120664
3,n09,1.4285534023108675,1.2996438891146043,1.1704575717526529
3,n10,1.4770386551805001,1.3300426574080748,1.2029002764464396
3,n11,1.4562307126858545,1.3224370251731838,1.0975313030078095
3,n12,1.4359339001325673,1.2952815526503658,1.1795593968013904
3,n13,2.9867434640520303,2.515404161469864,2.4923799787667638
3,n14,0.8556442404788256,0.8129473291710354,0.8202314977518033
3,n15,0.5334280380255466,0.43895003560418183,0.4284341920501888
3,n16,1.4610741277312034,1.3115215948486647,1.2394629890646367
3,n17,0.9748178811157213,0.856368157829459,0.7598368726547462
3,n18,1.0233702498007915,0.9111567486515608,0.8625828234711196
3,n19,1.2636128101700093,1.2136514419085223,1.1924690516834378
3,n20,0.8106929822651633,0.6914138114537057,0.6364906115281797
3,n21,0.6756335396456503,0.6285805252120382,0.5952557817925398
3,n22,2.371254768763658,2.0721077442584708,1.8750153535024656
3,n23,1.5145136895570803,1.3475413979014064,1.2888129368749777
3,n24,0.9754084875165725,0.8732967036884025,0.8693975940329611
3,n25,1.6698579034653327,1.4186021936631075,1.3295880859294111
3,n26,2.2580169018180265,1.9814391233470612,1.8121231099600514
3,n27,1.230723238795597,1.0215581211300926,0.9721473633784794
3,n28,,,
3,n29,0.6066001526255346,0.4470202673957643,0.4192072342606117
3,n30,1.4280535683301376,1.2440491011144783,1.116714936409229
