base_rate,REV_max,alpha_at_max,REV@0.05,REV@0.1,REV@0.2,REV@0.5,model,horizon
0.131202521415872,0.6192377456504706,0.13,0.20352541742244556,0.5286265755081159,0.5562057283646442,0.2433015090853096,ThermoRoute,1
0.1266161006722979,0.6150168618890011,0.13,0.1593308990427318,0.5331096417645318,0.560074880871341,0.30735194009530314,LightGBM,1
0.131202521415872,0.8914397541438143,0.13,0.7168503790521371,0.8587042463141249,0.8835078534031413,0.8158299969202341,DampedPersistence,1
0.131202521415872,0.8931999584992469,0.13,0.7226175526719688,0.8612157574066323,0.8849707422235911,0.8152140437326763,Persistence,1
0.13116211411023113,0.6108984495181128,0.13,0.24653520602734627,0.5288345270207423,0.5258009858287123,0.14725816389402346,ThermoRoute,3
0.12673919639374107,0.6158387974275518,0.13,0.23229264902963223,0.5397825979053954,0.5293262653898769,0.19186046511627924,LightGBM,3
0.13116211411023113,0.7998323518032928,0.14,0.4699562831364525,0.7378383406194774,0.7876617375231054,0.6829944547134936,DampedPersistence,3
0.13116211411023113,0.7976395755672102,0.13,0.4742349548879175,0.7370012091898429,0.7820394331484903,0.6503388786198397,Persistence,3
0.1310004848876677,0.5978224323802304,0.13,0.28196782293313505,0.5281781828326978,0.5023133867982726,0.08729179518815522,ThermoRoute,7
0.1270479269518109,0.6188358709228604,0.13,0.3077423552374757,0.5538261348280867,0.5214924346629985,0.12826685006877564,LightGBM,7
0.1310004848876677,0.7395234064530939,0.14,0.2966613968194923,0.6560959732167767,0.7277143738433065,0.6261566933991363,DampedPersistence,7
0.1310004848876677,0.7266701957950913,0.13,0.2900120896494003,0.6447968008927741,0.7051202961135101,0.52652683528686,Persistence,7
