horizon,site,rmse_persist,rmse_damped,rmse_thermo
1,n00,0.4925550743036818,0.47809770372651605,0.42141772216963036
1,n01,0.46932125525499363,0.46145604816286173,0.4779783199667969
1,n02,1.354391918796315,1.2644105501180272,1.285905662921824
1,n03,0.9404481898677055,0.9143807765371349,0.6865106696152534
1,n04,1.5994561705092294,1.514227556907082,1.2565084988293829
1,n05,0.843327696052956,0.8135466316416414,0.7198099762630034
1,n06,,,
1,n07,1.4066675906536672,1.350943407330808,0.995752222490586
1,n08,0.5022738255934132,0.4896950335280834,0.4047089983863577
1,n09,0.3049615990479301,0.2814460655480664,0.3376559785824792
1,n10,1.0181959198495614,0.9909478369181539,0.6453527920581102
1,n100,0.33278499868951134,0.3245672406480393,0.2825019920989183
1,n101,1.2944593268194597,1.2090827088764005,1.1106053969156016
1,n102,0.8752336572806485,0.8387501212167665,0.8085016826077224
1,n103,0.9797254087524863,0.9405288703560947,0.7809499611539624
1,n104,0.6108877080344483,0.5905585112614984,0.4003988641405984
1,n105,0.9975003900161709,0.9534192737512006,0.7445756634496095
1,n106,,,
1,n107,0.7952853633460589,0.774871026095633,0.6678092869468845
1,n108,0.6434755384068905,0.6232358772847079,0.49392651589657854
1,n109,0.9582682052275237,0.9241453719754822,0.7607553542532909
1,n11,0.370022355045735,0.35949386092841534,0.29035777553929015
1,n110,0.7174922350065676,0.6949053525215555,0.4489967306508589
1,n111,0.9366095891652576,0.9022860171537298,0.7450672424986922
1,n112,1.1714610391659541,1.124712265279986,0.8020280255329753
1,n113,1.0237949114906268,0.9894201269949806,0.7885184664584238
1,n114,,,
1,n115,0.5598884343211363,0.5359555663647526,0.5613404886122216
1,n116,0.808390034749591,0.7737116506687587,0.6264102898002839
1,n117,0.964221821449278,0.9111280854492935,0.8333029863981175
1,n118,0.6307279097222926,0.6075759774318464,0.4431751229426675
1,n119,0.7875411138230004,0.760337588812238,0.7007022390357849
1,n12,0.5703838541206784,0.5478008797731351,0.43325001593476736
1,n13,0.6227054008496657,0.6010834762322895,0.4116053256739682
1,n14,0.5822333403626929,0.5511127746787371,0.49434497946685885
1,n15,0.7543977935971456,0.7317066414366392,0.6896616492910247
1,n16,0.4033697822926622,0.3935044610625441,0.400109090646852
1,n17,0.683001983012055,0.6604371021336292,0.6082480771850131
1,n18,0.6976457374432817,0.677588393792309,0.5607006312038787
1,n19,,,
1,n20,0.5067026543662332,0.47120021612428126,0.41669628924221547
1,n21,0.30421540488401055,0.271237405188409,0.2949509749057012
1,n22,1.2195764549639936,1.17544106755743,0.8616213029267333
1,n23,0.7051795957701616,0.6785008574435157,0.5057133948184164
1,n24,0.7070107795877266,0.6761389950536181,0.4946109046137966
1,n25,1.025880362519798,0.9869287541074181,0.765295811154467
1,n26,1.1132073911622435,1.0833683218038566,0.711632485639613
1,n27,0.6657608864476893,0.6467074755544604,0.5431592915036334
1,n28,0.7231208253305561,0.7044914130627513,0.4952478886412784
1,n29,1.180500091982692,1.1379148881783623,0.7888481670215529
1,n30,0.9501435901628861,0.9090851318793352,0.6893014919341924
1,n31,0.6028592154767113,0.596076045496926,0.615530186253184
1,n32,,,
1,n33,0.6779067244958472,0.6477322275726499,0.47673198207381945
1,n34,0.9925312186109064,0.9889401524681787,0.8795410965446558
1,n35,0.6180567873536754,0.5637432534186888,0.436229996505438
1,n36,1.130174694288478,1.089692454813102,0.8756207118304887
1,n37,1.2287403944212558,1.164464943936588,0.9597505031010709
1,n38,0.7039058527294192,0.6914524888204888,0.5155868850537308
1,n39,0.3649339691646095,0.35536091724048285,0.3601222772600637
1,n40,0.8930265764127497,0.8519690029702467,0.7278292717251317
1,n41,0.7231397608164627,0.6886229445301004,0.5314446161864718
1,n42,0.9673253083237839,0.9367977800485816,0.8462487874670349
1,n43,0.77997960512466,0.7541403104352472,0.6224526021408642
1,n44,0.35453326115988504,0.34601491192185385,0.3771984313768591
1,n45,0.2385422459367279,0.22066715185594094,0.22852864155905278
1,n46,0.7016902997303738,0.6764329095793277,0.4982441333352425
1,n47,0.8672526106136283,0.8344152616586582,0.6786703506693652
1,n48,0.8663420342727373,0.8290314874022229,0.749011037207983
1,n49,0.6820756793450115,0.6869337402499006,0.5686548090702873
1,n50,0.40302154639434656,0.3719116726919244,0.3443740471987455
1,n51,0.9001881780339203,0.8578346490541567,0.7468118563550717
1,n52,1.0767706807706652,1.0391230778212526,0.7856679723604599
1,n53,1.0124122480322368,0.9774293265575941,0.6820029539614856
1,n54,0.8177495309236092,0.792340017173372,0.6643079400596071
1,n55,0.8970946443853979,0.8676354466446382,0.679301538464336
1,n56,0.7636239496913536,0.7396823451775033,0.6007686490229216
1,n57,0.831425999604053,0.7936399845847938,0.6683409631993026
1,n58,1.0587849700326515,1.065056731002951,0.8091253898629194
1,n59,0.9515768185953315,0.917016426704588,0.6422826477176459
1,n60,0.6597076348392173,0.6309245106268248,0.6265359862045882
1,n61,0.9973376235392747,0.9642306414750731,0.7482102418277852
1,n62,1.0602062612371526,1.030587727503844,0.8641721018286302
1,n63,0.3168386600441534,0.2895799910174679,0.24921718650518218
1,n64,1.1003615262629658,1.052850020539913,0.8692525202020843
1,n65,1.220221860982731,1.1756799490747862,0.8764614186884755
1,n66,0.6203891412906605,0.5984934259172221,0.5528104509644164
1,n67,1.123483537921618,1.074023231766871,0.9195209283838329
1,n68,0.5151747498909326,0.5012676833064403,0.39232004605038817
1,n69,0.8166600714636434,0.7932905606848477,0.6064712420197466
1,n70,1.3099280984157415,1.254112242936217,1.2083851722459085
1,n71,1.0775229355948235,1.0403709405602684,0.7546118984327954
1,n72,0.4947793597930285,0.47137563785274755,0.4065707492599142
1,n73,0.8637776848908333,0.8414460320011664,0.696710858996761
1,n74,0.9727914835627645,0.9255315514266984,0.8062871507780184
1,n75,1.4427791069331648,1.3565243019165005,1.245167026272948
1,n76,0.6671859474990505,0.6394481987564877,0.6224335442851177
1,n77,,,
1,n78,0.5262842422869151,0.49937190969685075,0.4731825784462153
1,n79,0.7629091911075039,0.7405041642938336,0.581124670988893
1,n80,0.22134071413221712,0.2183486413025406,0.2658338366530033
1,n81,1.2604424192526946,1.2069684458723142,0.8894746510371769
1,n82,0.7346001402195499,0.7096526596248728,0.5443222934776815
1,n83,0.9685791274659418,0.9335769211578375,0.7107964516043725
1,n84,0.6223633385794275,0.603472186949923,0.5290609719473355
1,n85,0.22633884081490238,0.23646465068733316,0.33228497999594553
1,n86,1.2823110074069521,1.232882870158806,0.9475931057720697
1,n87,0.6692531661446237,0.6446094740442545,0.6314927379255473
1,n88,0.9355841158088956,0.9023043298695347,0.6629748772158528
1,n89,0.8842949468487495,0.8522734860350104,0.632579988422224
1,n90,0.43457076258054944,0.3970552182621083,0.40579331678286773
1,n91,0.4407836780580329,0.42342710226581604,0.47640759796360926
1,n92,0.798256452933603,0.7739557547354045,0.6065623344653116
1,n93,0.9380831753825025,0.9235965268809383,0.7176241747089181
1,n94,0.5380907554957587,0.520013906275549,0.4813006922705786
1,n95,0.9164458658030097,0.8844532249318398,0.6189163044926063
1,n96,0.9675266618367878,0.9339292122116251,0.6337381626369335
1,n97,0.6578790891013467,0.6286265823857914,0.5121091622693981
1,n98,1.0804132644382025,1.0199935903477155,0.9365195541822825
1,n99,0.4309183307324339,0.40372237098085667,0.3981631511473418
3,n00,0.9856778329894111,0.9017759257873492,0.852072365246065
3,n01,0.8556442404788256,0.8129473291710354,0.8194341092879237
3,n02,2.296400198930914,1.8289099928379269,1.9116410937529815
3,n03,1.9588827125853916,1.7809194218032867,1.5995505267648789
3,n04,2.9388137134534857,2.461138879039697,2.2803240821133035
3,n05,1.5478910770115777,1.3780647452941777,1.2374637973606442
3,n06,,,
3,n07,2.5966730620640557,2.241869092963164,2.0497743961705757
3,n08,1.0715043173362497,0.9732384956430873,0.8821685297678629
3,n09,0.6162106746270213,0.5037517903370605,0.5260808166528917
3,n10,2.137374216586478,1.9132324471473094,1.6728917823128229
3,n100,0.7890216997095207,0.7389912279452417,0.6581570642497574
3,n101,2.1421951219055853,1.748657398823358,1.6989357747565488
