fold,horizon,tr,skill_persist,skill_damped
0,1,0.6768208146095276,0.2096961290302375,0.1790705708057334
0,3,1.396493911743164,0.1721432446084834,0.059038476160808706
0,7,1.7116954326629639,0.2366516095941098,0.024186860343494487
1,1,0.7171545028686523,0.1796920631325598,0.14706028781198666
1,3,1.4095873832702637,0.1804531529035146,0.07187732295601168
1,7,1.7221884727478027,0.2515259080299055,0.04082750607403973
2,1,0.6804701089859009,0.18295594419472516,0.14918181260059715
2,3,1.3470922708511353,0.16950445408518355,0.05572326374128045
2,7,1.627338171005249,0.24490763117163505,0.02988907124412421
3,1,0.6793614029884338,0.1533243246435455,0.11940003845785963
3,3,1.286912202835083,0.15683364591940252,0.043488809509182436
3,7,1.5558010339736938,0.22811264594792713,0.017020229004219956
