model,horizon,site_id,rmse,mae,bias,n
Climatology,1,01073319,1.8980512790268445,1.4446639966392487,-0.29189273710218594,970
Climatology,1,01104415,1.7683956687479412,1.3730585848937793,-0.783702394499615,961
Climatology,1,01104455,2.0050548779395374,1.5721063307433758,-0.5821375208643248,848
Climatology,1,01104475,1.9889025127233053,1.571013301446293,-0.9121321252037807,1086
Climatology,1,01129500,1.774191759850807,1.2005551084865769,-0.6090320346481899,1094
Climatology,1,01400500,2.2114085584594014,1.7253227249792453,-0.6431501178304923,979
Climatology,1,01408029,2.0910849638237687,1.624106100763536,-0.8154010240377401,891
Climatology,1,01425000,1.3967747953163987,1.024594143589041,-0.1779399768852476,1072
Climatology,1,01426500,1.6065528145079997,1.2390842719778994,0.1511134580097485,932
Climatology,1,01427207,1.877042180888168,1.4906656437910069,-0.09159307116054026,1076
Climatology,1,01428500,2.115022344125953,1.664052721853831,-0.04150306224459555,1066
Climatology,1,01463500,1.8885989249510766,1.499173171069733,-0.3577490852669228,1075
Climatology,1,01480617,2.0666304858596596,1.6049539869831455,-0.5896173362358375,1085
Climatology,1,01540500,1.936004774960092,1.518902395737748,-0.6176012200774044,930
Climatology,1,01542500,2.152937456007137,1.7086983973703587,0.4369585006030854,1087
Climatology,1,01549700,2.29209938267173,1.8132670896815328,-0.5119192911644538,1081
Climatology,1,02110701,2.2987496689379965,1.7486816370794043,-0.5146300363131542,1049
Climatology,1,02176930,2.1544866540552623,1.6648519897845848,-0.9141631714525612,1053
Climatology,1,02266300,2.0556083781231296,1.600790373396235,-0.8836507691570926,1083
Climatology,1,02330450,1.89497680950945,1.4013825610728192,-0.5380956435898193,1064
Climatology,1,02334430,1.733081017218956,1.6468546996386875,-1.6407264442722802,1094
Climatology,1,02334885,2.1482864257321617,1.5511573156447471,-0.6663909954388355,1094
Climatology,1,02336120,2.2447345070208775,1.629619317654088,-0.3590907898506846,1086
Climatology,1,02336300,2.310857708940967,1.7346320435541485,-0.11996950764174855,1090
Climatology,1,02336728,3.3125123455606698,2.5647877407513455,-2.1066278220321726,1085
Climatology,1,02397000,1.6708886038038677,1.2755412069313667,-0.32925863783149156,1088
Climatology,1,02455980,1.805481145416055,1.3355250462932207,-0.2057642333287494,1051
Climatology,1,02458450,2.006823067660201,1.4983050869103423,-0.2989754825420712,1091
