candidate,reference,horizon,site_id,effect
DampedPriorOnly,Persistence,1,12056500,-0.01156934723978692
DampedPriorOnly,Persistence,1,12115000,-0.008793531874676686
DampedPriorOnly,Persistence,1,12117600,-0.009560057314044523
DampedPriorOnly,Persistence,1,12210700,-0.021760860564356777
DampedPriorOnly,Persistence,1,12212050,-0.012871923946851327
DampedPriorOnly,Persistence,1,12213100,-0.02347529149989913
DampedPriorOnly,Persistence,1,12363000,-0.015594867782585287
DampedPriorOnly,Persistence,1,12398600,-0.034669957795405104
DampedPriorOnly,Persistence,1,13018350,-0.03808225982318425
DampedPriorOnly,Persistence,1,13154500,-0.009404917359429499
DampedPriorOnly,Persistence,1,13317660,-0.027730143753147696
DampedPriorOnly,Persistence,1,13342500,-0.012560357791244592
DampedPriorOnly,Persistence,1,14091500,-0.027031956042447347
DampedPriorOnly,Persistence,1,14150800,-0.018587705319138226
DampedPriorOnly,Persistence,1,14151000,-0.005709215781976695
DampedPriorOnly,Persistence,1,14152000,-0.008923287529395807
DampedPriorOnly,Persistence,1,14153500,-0.013045860677159848
DampedPriorOnly,Persistence,1,14154500,-0.013837372477046528
DampedPriorOnly,Persistence,1,14159500,-0.009111869697209174
DampedPriorOnly,Persistence,1,14161500,-0.013536816660412065
DampedPriorOnly,Persistence,1,14179000,-0.012205734271301782
DampedPriorOnly,Persistence,1,14185000,-0.01710624108180414
DampedPriorOnly,Persistence,1,14210000,-0.014219333588694927
DampedPriorOnly,Persistence,1,14211499,-0.02366640962886124
DampedPriorOnly,Persistence,1,14211500,-0.024159998385496206
DampedPriorOnly,Persistence,1,14320934,-0.007393227901423938
DampedPriorOnly,Persistence,1,255534081324000,-0.036518988062917646
DampedPriorOnly,Persistence,3,01073319,-0.24487429926185045
DampedPriorOnly,Persistence,3,01104415,-0.31518265572417814
DampedPriorOnly,Persistence,3,01104455,-0.13836201483123123
DampedPriorOnly,Persistence,3,01104475,-0.20376474487392704
DampedPriorOnly,Persistence,3,01129500,-0.2356078024889341
DampedPriorOnly,Persistence,3,01400500,-0.24759271135220562
DampedPriorOnly,Persistence,3,01408029,-0.32159990209123857
DampedPriorOnly,Persistence,3,01425000,-0.054461379191177994
DampedPriorOnly,Persistence,3,01426500,-0.13846542633492476
DampedPriorOnly,Persistence,3,01427207,-0.22314467390325166
DampedPriorOnly,Persistence,3,01428500,-0.18973130744426348
DampedPriorOnly,Persistence,3,01463500,-0.14739922710076647
DampedPriorOnly,Persistence,3,01480617,-0.2875453048056469
DampedPriorOnly,Persistence,3,01540500,-0.1602369995182651
DampedPriorOnly,Persistence,3,01542500,-0.23998139588769307
DampedPriorOnly,Persistence,3,01549700,-0.23042087889269047
DampedPriorOnly,Persistence,3,02110701,-0.280560288264718
DampedPriorOnly,Persistence,3,02176930,-0.24367493726510614
DampedPriorOnly,Persistence,3,02266300,-0.18972192812279776
DampedPriorOnly,Persistence,3,02330450,-0.26015652987891036
DampedPriorOnly,Persistence,3,02334430,0.07319442325175984
DampedPriorOnly,Persistence,3,02334885,-0.2286882900163203
DampedPriorOnly,Persistence,3,02336120,-0.27940417156854913
DampedPriorOnly,Persistence,3,02336300,-0.28867188755146556
DampedPriorOnly,Persistence,3,02336728,0.2286929814382952
DampedPriorOnly,Persistence,3,02397000,-0.13171555492918996
DampedPriorOnly,Persistence,3,02455980,-0.2587877999875108
DampedPriorOnly,Persistence,3,02458450,-0.23305924811000045
DampedPriorOnly,Persistence,3,02474560,-0.13892313174122317
DampedPriorOnly,Persistence,3,03007800,-0.2496599843027716
DampedPriorOnly,Persistence,3,03034000,-0.2674024534643622
DampedPriorOnly,Persistence,3,03036000,-0.12065481956731916
DampedPriorOnly,Persistence,3,03047000,-0.1310936888109493
DampedPriorOnly,Persistence,3,03077500,-0.10947409024495114
DampedPriorOnly,Persistence,3,03105500,-0.209823039187788
DampedPriorOnly,Persistence,3,03106000,-0.2872601879299519
DampedPriorOnly,Persistence,3,03301900,-0.2911626067973654
DampedPriorOnly,Persistence,3,03353200,-0.3019455820019217
DampedPriorOnly,Persistence,3,03456991,-0.22293843702668203
DampedPriorOnly,Persistence,3,04027000,-0.25016548389755155
DampedPriorOnly,Persistence,3,04043238,-0.24915976154535446
DampedPriorOnly,Persistence,3,04043244,-0.2400905033674685
DampedPriorOnly,Persistence,3,04067500,-0.1665985421050542
DampedPriorOnly,Persistence,3,04077630,-0.23890558608568258
DampedPriorOnly,Persistence,3,04124200,-0.14461184055903703
DampedPriorOnly,Persistence,3,04125460,-0.19689586801291137
DampedPriorOnly,Persistence,3,04137005,-0.12494347780579351
DampedPriorOnly,Persistence,3,04176500,-0.1504544963451644
DampedPriorOnly,Persistence,3,04208000,-0.2476501776183604
DampedPriorOnly,Persistence,3,05054000,-0.17704098494779374
DampedPriorOnly,Persistence,3,05057000,-0.1999942826409422
DampedPriorOnly,Persistence,3,05289800,-0.19334159031725173
DampedPriorOnly,Persistence,3,05331833,-0.23946254843544512
DampedPriorOnly,Persistence,3,05370000,-0.14518502022917668
DampedPriorOnly,Persistence,3,05382255,-0.18268717229417808
DampedPriorOnly,Persistence,3,05382257,-0.399603795886595
DampedPriorOnly,Persistence,3,05406457,-0.1701682937413107
DampedPriorOnly,Persistence,3,05458300,-0.20089001710006937
DampedPriorOnly,Persistence,3,05517000,-0.24186400178155076
DampedPriorOnly,Persistence,3,06036805,-0.2143470854178593
DampedPriorOnly,Persistence,3,06036905,-0.27566987655747965
DampedPriorOnly,Persistence,3,06036940,-0.0827999898270626
DampedPriorOnly,Persistence,3,06041000,-0.13226539490893208
DampedPriorOnly,Persistence,3,06623800,-0.17949864660138282
DampedPriorOnly,Persistence,3,06894000,-0.21841601560908463
DampedPriorOnly,Persistence,3,06934500,-0.14942851848782146
