site_id,horizon,Persistence,DampedPersistence,ThermoRoute,G_memory,G_learned,half_life
01073319,1,0.9018709083759595,0.8651951677346197,0.6544557975348039,0.03667574064133983,0.2107393701998158,6.3528433028737625
01073319,3,1.9403527919144878,1.6954784926526374,1.5406707161277111,0.24487429926185045,0.15480777652492628,6.3528433028737625
01073319,7,2.636577503430821,1.9502009088528716,1.8409670435942143,0.6863765945779494,0.1092338652586573,6.3528433028737625
01104415,1,1.1688330206614252,1.099890445766909,0.9658026962607159,0.06894257489451627,0.13408774950619307,2.8103330093926204
01104415,3,1.93410659494561,1.6189239392214319,1.53024178946853,0.31518265572417814,0.08868214975290178,2.8103330093926204
01104415,7,2.2040600288426697,1.7148016525836747,1.649859515343959,0.48925837625899504,0.06494213723971565,2.8103330093926204
01104455,1,1.1004448031293566,1.0686825567824805,0.9851053889657762,0.03176224634687608,0.08357716781670432,9.04087118115529
01104455,3,1.724655493940072,1.5862934791088408,1.5198434187807266,0.13836201483123123,0.06645006032811418,9.04087118115529
01104455,7,2.1114373507122934,1.788127213809465,1.73240870329693,0.3233101369028284,0.05571851051253507,9.04087118115529
01104475,1,1.0043918349982714,0.972292732563011,0.847613277246103,0.032099102435260485,0.12467945531690794,3.603121840313532
01104475,3,1.7941445641822296,1.5903798193083025,1.5160981044156623,0.20376474487392704,0.07428171489264024,3.603121840313532
01104475,7,2.1324301637852345,1.7982501718428734,1.7441065506081805,0.33417999194236114,0.05414362123469285,3.603121840313532
01129500,1,0.8661678892990187,0.8305807908529209,0.6290286158024225,0.035587098446097754,0.20155217505049838,6.236960879360934
01129500,3,1.7650218933761253,1.5294140908871912,1.3671438432982255,0.2356078024889341,0.1622702475889657,6.236960879360934
01129500,7,2.3377713263814597,1.7296506186217053,1.6227610027373651,0.6081207077597544,0.1068896158843402,6.236960879360934
01400500,1,1.051711978426769,1.0138234709783829,0.7290555010056043,0.03788850744838612,0.28476796997277853,6.604125093868329
01400500,3,2.144604845460917,1.8970121341087114,1.7299828671031243,0.24759271135220562,0.16702926700558707,6.604125093868329
