model,horizon,interval_coverage,interval_width,brier,n
DampedPriorOnly,1,0.9144820945328972,2.5980264120135033,0.11604549551277799,120466
DampedPriorOnly,3,0.8935597639861601,4.477427553536221,0.1160908491047395,119654
DampedPriorOnly,7,0.8845366383849959,5.404174765594522,0.11635789598755031,118687
LSTM,1,0.9308435575183039,2.33725047329852,0.03603346324087344,120466
LSTM,3,0.9258779480836412,4.7438591870704565,0.045908703296506405,119654
LSTM,7,0.91884536638385,5.832943497150649,0.055550233084638245,118687
LSTM-ext,1,0.9082728736738996,2.1030964166970962,0.016043108640587347,120466
LSTM-ext,3,0.908678355926254,4.484137025440084,0.023312018036559034,119654
LSTM-ext,7,0.9091560154018553,5.768486495515967,0.027808638945904966,118687
LightGBM,1,0.9068699882124417,1.9051138726787975,0.019619528500989202,120466
LightGBM,3,0.9041151988232737,4.142215895127829,0.03949676331536881,119654
LightGBM,7,0.902794745844111,5.317689623750306,0.04854555736774092,118687
LightGBM-ext,1,0.9047366061793369,1.9310046496714028,0.008862917857312597,120466
LightGBM-ext,3,0.9013154595751083,4.212187671937112,0.020648452249266536,119654
LightGBM-ext,7,0.9048084457438472,5.498306814286806,0.026418129337549442,118687
TR-fixedKappa,1,0.9315325486029253,2.1627315271054455,0.024755551990165655,120466
TR-fixedKappa,3,0.9243568957159811,4.419344848851762,0.0409784757070914,119654
TR-fixedKappa,7,0.9169496238004162,5.590332814250282,0.05049615371959023,118687
TR-noDynamicPrior,1,0.9303952982584298,2.153339539770478,0.02454081020623113,120466
TR-noDynamicPrior,3,0.9253514299563742,4.445429748608325,0.04101341715256865,119654
TR-noDynamicPrior,7,0.9163345606511244,5.598145928041789,0.050609745440936785,118687
TR-noMoE,1,0.9310261816612156,2.2104627350063817,0.02532817889376825,120466
TR-noMoE,3,0.9247329800926003,4.507799498089099,0.042436171961401314,119654
TR-noMoE,7,0.9202103010439222,5.6872591262590175,0.05390197192403648,118687
TR-noRouter,1,0.9298972324141251,2.215034489153232,0.0256228906216032,120466
TR-noRouter,3,0.9240058836311364,4.549576696327192,0.041921243600128624,119654
TR-noRouter,7,0.9202945562698527,5.759513658569587,0.0512960417836482,118687
TR-noTCN,1,0.9353676556040709,2.4282172225453933,0.03503932079967047,120466
TR-noTCN,3,0.9323465993614923,4.810296253811503,0.04565237414274022,119654
TR-noTCN,7,0.9234962548552074,5.873280066100241,0.0550044084400276,118687
TR-unbounded,1,0.934305115136221,2.2453082334757304,0.02572152904903418,120466
TR-unbounded,3,0.9263543216273589,4.555041010942303,0.0420038065530048,119654
TR-unbounded,7,0.9197890249142703,5.70786895264402,0.052026807067097676,118687
ThermoRoute,1,0.9318977968887487,2.185946409960143,0.025134601877318245,120466
ThermoRoute,3,0.925100707038628,4.465446476369633,0.04166037224215142,119654
ThermoRoute,7,0.9193845998298045,5.651525633132145,0.051458122212700755,118687
ThermoRoute-ext,1,0.9136353825975794,1.990339343321322,0.009587408694829217,120466
ThermoRoute-ext,3,0.9072408778645094,4.25142946592905,0.02111872938383391,119654
ThermoRoute-ext,7,0.9054572109835113,5.564919736159102,0.026700571235097992,118687
