model,horizon,bin_low,bin_high,mean_forecast,observed_rate,n
TR-fixedKappa,7,0.8,0.9,0.8487096227225549,0.9008422664624809,2612
TR-fixedKappa,7,0.9,1.0,0.9483408682497303,0.9726890756302521,1904
TR-noDynamicPrior,1,0.0,0.1,0.00324674584386892,0.003482298316889147,98211
TR-noDynamicPrior,1,0.1,0.2,0.14539363499378938,0.15814151747655583,2346
TR-noDynamicPrior,1,0.2,0.30000000000000004,0.2476141879134539,0.27340359578425294,1613
TR-noDynamicPrior,1,0.30000000000000004,0.4,0.3489822145765147,0.36858475894245724,1286
TR-noDynamicPrior,1,0.4,0.5,0.4503229415375089,0.47560975609756095,1148
TR-noDynamicPrior,1,0.5,0.6000000000000001,0.5510758091150785,0.5922493681550126,1187
TR-noDynamicPrior,1,0.6000000000000001,0.7000000000000001,0.6501585829809576,0.671957671957672,1323
TR-noDynamicPrior,1,0.7000000000000001,0.8,0.7511071711624732,0.7455853499018966,1529
TR-noDynamicPrior,1,0.8,0.9,0.8541749786003868,0.8565629228687416,2217
TR-noDynamicPrior,1,0.9,1.0,0.9754779595737634,0.9696023318759109,9606
TR-noDynamicPrior,3,0.0,0.1,0.005555422563798432,0.005776491722513258,92963
TR-noDynamicPrior,3,0.1,0.2,0.14706342696076088,0.16833166833166832,4004
TR-noDynamicPrior,3,0.2,0.30000000000000004,0.24849927534546257,0.26463284852784674,2819
TR-noDynamicPrior,3,0.30000000000000004,0.4,0.34993629081896405,0.37282652648604936,2473
TR-noDynamicPrior,3,0.4,0.5,0.4503645743517795,0.47941567065073043,2259
TR-noDynamicPrior,3,0.5,0.6000000000000001,0.5510946043291324,0.5827017387427552,2243
TR-noDynamicPrior,3,0.6000000000000001,0.7000000000000001,0.6496373010957953,0.6671987230646449,2506
TR-noDynamicPrior,3,0.7000000000000001,0.8,0.7510829181256693,0.7482176360225141,2665
TR-noDynamicPrior,3,0.8,0.9,0.8522015896839998,0.8531746031746031,3024
TR-noDynamicPrior,3,0.9,1.0,0.9558479420612496,0.9589186888037463,4698
